ImageName,EntityName,EntityDescription,AltText
L-NH10-A4A1-005.JPG,Takin,"A takin (Budorcas taxicolor) is a large, yellowish-brown animal. It often appears to be smiling because of the shape of its mouth.","Select the name that identifies a large, yellowish-brown animal, with hooves and impressive horns. It often appears to be smiling and is sometimes called a goat-antelope."
takin 2.jpg,Takin,"A takin (Budorcas taxicolor) is a large, yellowish-brown animal sometimes called a ""goat-antelope.""","Select the name that identifies a large, yellowish-brown animal, with hooves and impressive horns. It often appears to be smiling and is sometimes called a goat-antelope."
takin in camera trap.jpg,Takin,"A takin (Budorcas taxicolor) is a large, yellowish-brown animal that lives in the mountains of China, India, Bhutan, and Myanmar.","Select the name that identifies a large, yellowish-brown animal, with hooves and impressive horns. It often appears to be smiling and is sometimes called a goat-antelope."
takinnight.jpg,Takin,"A takin (Budorcas taxicolor) is a large, yellowish-brown animal with hooves and impressive horns. ","Select the name that identifies a large, yellowish-brown animal, with hooves and impressive horns. It often appears to be smiling and is sometimes called a goat-antelope."
M35_2 reference from Bill.jpg,Yellow-throated marten,The yellow-throated marten (Martes flavigula) is included under the China Wildlife Protection Law.,"Select the name that identifies a small black and yellow animal with a long fluffy tail. Related to otters and weasels, it tends to stay close to the ground, scurrying along logs or behind rocks and tree stumps."
yellowthroatmarten1.jpg,Yellow-throated marten,The yellow-throated marten (Martes flavigula) can be found across Asia. They are solitary animals; adults usually meet only to breed.,"Select the name that identifies a small black and yellow animal with a long fluffy tail. Related to otters and weasels, it tends to stay close to the ground, scurrying along logs or behind rocks and tree stumps."
yellowthroatmarten2.jpg,Yellow-throated marten,"The yellow-throated marten (Martes flavigula) tends to stay close to the ground, scurrying along logs or behind rocks and tree stumps.","Select the name that identifies a small black and yellow animal with a long fluffy tail. Related to otters and weasels, it tends to stay close to the ground, scurrying along logs or behind rocks and tree stumps."
yellowthroatmarten3.jpg,Yellow-throated marten,"The yellow-throated marten (Martes flavigula) is a small carnivorous mammal related to weasels, wolverines, and otters. Visit the Zoo's otters at Asia Trail and American Trail.","Select the name that identifies a small black and yellow animal with a long fluffy tail. Related to otters and weasels, it tends to stay close to the ground, scurrying along logs or behind rocks and tree stumps."
asiaticblackbear1.jpg,Asiatic black bear,"Asiatic black bears (Ursus thibetanus) are larger than giant pandas and only have a small amount of white fur. The white patch on their chest led to their nickname, the moon bear.","The animal in this photograph is very large and is almost entirely black, except for a small patch of white fur on its chest. It has big claws and is in the same family as giant pandas."
asiaticblackbear2.jpg,Asiatic black bear,Asiatic black bears (Ursus thibetanus) are an endangered species. They have long been hunted and are also threatened by habitat loss.,"The animal in this photograph is very large and is almost entirely black, except for a small patch of white fur on its chest. It has big claws and is in the same family as giant pandas."
